id,text,label
1,This is the dumbest thing ever,1
2,You are an idiot,1
3,You are stupid,1
4,You are so rude,1
5,I hate you,1
6,Nobody likes you,1
7,Nobody likes you,1
8,You are useless,1
9,You are so rude,1
10,You are an idiot,1
11,This is the dumbest thing ever,1
12,You are so rude,1
13,I cannot stand you,1
14,Stop bothering me,1
15,You are an idiot,1
16,You have no idea what you are doing,1
17,You are completely annoying,1
18,You are stupid,1
19,You are stupid,1
20,You are an idiot,1
21,Nobody likes you,1
22,Nobody likes you,1
23,Stop bothering me,1
24,You have no idea what you are doing,1
25,You are stupid,1
26,Stop bothering me,1
27,Nobody likes you,1
28,You are so rude,1
29,This is the dumbest thing ever,1
30,You are so rude,1
31,Stop bothering me,1
32,You are completely annoying,1
33,Nobody likes you,1
34,You are a terrible person,1
35,You have no idea what you are doing,1
36,I hate you,1
37,Go away,1
38,You are worthless,1
39,You are stupid,1
40,Go away,1
41,Go away,1
42,You are useless,1
43,You are so rude,1
44,You are completely annoying,1
45,Shut up,1
46,I hate you,1
47,You are useless,1
48,Nobody likes you,1
49,Go away,1
50,Shut up,1
51,You are an idiot,1
52,You are an idiot,1
53,You are completely annoying,1
54,You are an idiot,1
55,Shut up,1
56,You are worthless,1
57,Shut up,1
58,You have no idea what you are doing,1
59,I hate you,1
60,Go away,1
61,You are stupid,1
62,You are so rude,1
63,You are a terrible person,1
64,Stop bothering me,1
65,You are an idiot,1
66,I cannot stand you,1
67,You are completely annoying,1
68,You are an idiot,1
69,Stop bothering me,1
70,I hate you,1
71,You are worthless,1
72,This is the dumbest thing ever,1
73,You have no idea what you are doing,1
74,I cannot stand you,1
75,You are worthless,1
76,Shut up,1
77,You have no idea what you are doing,1
78,Nobody likes you,1
79,You are so rude,1
80,You are an idiot,1
81,You are stupid,1
82,This is the dumbest thing ever,1
83,Nobody likes you,1
84,Go away,1
85,I hate you,1
86,You are an idiot,1
87,You are worthless,1
88,Nobody likes you,1
89,You are worthless,1
90,You are an idiot,1
91,You are completely annoying,1
92,I hate you,1
93,You are a terrible person,1
94,This is the dumbest thing ever,1
95,You are worthless,1
96,Shut up,1
97,You are useless,1
98,Shut up,1
99,Shut up,1
100,Nobody likes you,1
101,This is the dumbest thing ever,1
102,I hate you,1
103,You are so rude,1
104,I cannot stand you,1
105,This is the dumbest thing ever,1
106,This is the dumbest thing ever,1
107,You are an idiot,1
108,You have no idea what you are doing,1
109,This is the dumbest thing ever,1
110,You are useless,1
111,Stop bothering me,1
112,You are so rude,1
113,Nobody likes you,1
114,You are useless,1
115,You are a terrible person,1
116,You are completely annoying,1
117,I hate you,1
118,I cannot stand you,1
119,This is the dumbest thing ever,1
120,You are so rude,1
121,Stop bothering me,1
122,Nobody likes you,1
123,This is the dumbest thing ever,1
124,Shut up,1
125,You are worthless,1
126,Go away,1
127,Go away,1
128,You are stupid,1
129,Nobody likes you,1
130,You are worthless,1
131,You are stupid,1
132,Go away,1
133,Shut up,1
134,You are completely annoying,1
135,I hate you,1
136,You are an idiot,1
137,Nobody likes you,1
138,I cannot stand you,1
139,You have no idea what you are doing,1
140,I cannot stand you,1
141,You are so rude,1
142,Shut up,1
143,Nobody likes you,1
144,This is the dumbest thing ever,1
145,You are a terrible person,1
146,You are completely annoying,1
147,I cannot stand you,1
148,I cannot stand you,1
149,This is the dumbest thing ever,1
150,You are a terrible person,1
151,You are useless,1
152,I hate you,1
153,You are useless,1
154,Nobody likes you,1
155,You are so rude,1
156,Stop bothering me,1
157,Stop bothering me,1
158,I hate you,1
159,You are so rude,1
160,You have no idea what you are doing,1
161,You are completely annoying,1
162,I cannot stand you,1
163,You have no idea what you are doing,1
164,You are completely annoying,1
165,Shut up,1
166,Nobody likes you,1
167,You are useless,1
168,Stop bothering me,1
169,You are a terrible person,1
170,You are an idiot,1
171,Go away,1
172,You are stupid,1
173,You are worthless,1
174,You are an idiot,1
175,You are useless,1
176,This is the dumbest thing ever,1
177,You are useless,1
178,Go away,1
179,This is the dumbest thing ever,1
180,You are completely annoying,1
181,You have no idea what you are doing,1
182,You are an idiot,1
183,You are completely annoying,1
184,You are completely annoying,1
185,You have no idea what you are doing,1
186,You are a terrible person,1
187,Stop bothering me,1
188,I hate you,1
189,Stop bothering me,1
190,You are worthless,1
191,You are stupid,1
192,This is the dumbest thing ever,1
193,You are so rude,1
194,You are an idiot,1
195,This is the dumbest thing ever,1
196,I cannot stand you,1
197,Stop bothering me,1
198,Go away,1
199,I hate you,1
200,Go away,1
201,This is the dumbest thing ever,1
202,Shut up,1
203,You are an idiot,1
204,I hate you,1
205,You are completely annoying,1
206,You are useless,1
207,You are a terrible person,1
208,You are stupid,1
209,You are so rude,1
210,I cannot stand you,1
211,You are so rude,1
212,I hate you,1
213,Stop bothering me,1
214,Go away,1
215,You are useless,1
216,Stop bothering me,1
217,I cannot stand you,1
218,You are an idiot,1
219,You are worthless,1
220,This is the dumbest thing ever,1
