id,text,threat,category
1,Click the link to verify your account.,1,phishing
2,Confirm your login credentials now.,1,phishing
3,Your account will be blocked. Verify your password immediately.,1,phishing
4,Your account will be blocked. Verify your password immediately.,1,phishing
5,Confirm your login credentials now.,1,phishing
6,Click the link to verify your account.,1,phishing
7,Your online account will be suspended unless verified.,1,phishing
8,Urgent account verification is required.,1,phishing
9,Your account will be blocked. Verify your password immediately.,1,phishing
10,Confirm your login credentials now.,1,phishing
11,Your online account will be suspended unless verified.,1,phishing
12,Your online account will be suspended unless verified.,1,phishing
13,Your online account will be suspended unless verified.,1,phishing
14,Your account security check is pending.,1,phishing
15,Click the link to verify your account.,1,phishing
16,Your account will be blocked. Verify your password immediately.,1,phishing
17,Confirm your login credentials now.,1,phishing
18,Your online account will be suspended unless verified.,1,phishing
19,Urgent account verification is required.,1,phishing
20,Urgent account verification is required.,1,phishing
21,Verify your account immediately using the provided link.,1,phishing
22,Your online account will be suspended unless verified.,1,phishing
23,Urgent account verification is required.,1,phishing
24,Your account will be blocked. Verify your password immediately.,1,phishing
25,Click the link to verify your account.,1,phishing
26,Click the link to verify your account.,1,phishing
27,Confirm your login credentials now.,1,phishing
28,Urgent account verification is required.,1,phishing
29,Your bank account needs urgent verification.,1,phishing
30,Urgent account verification is required.,1,phishing
31,Verify your account immediately using the provided link.,1,phishing
32,Your bank account needs urgent verification.,1,phishing
33,Verify your account immediately using the provided link.,1,phishing
34,Your online account will be suspended unless verified.,1,phishing
35,Your online account will be suspended unless verified.,1,phishing
36,Confirm your login credentials now.,1,phishing
37,Verify your account immediately using the provided link.,1,phishing
38,Confirm your login credentials now.,1,phishing
39,Your account will be blocked. Verify your password immediately.,1,phishing
40,Urgent account verification is required.,1,phishing
41,Your bank account needs urgent verification.,1,phishing
42,Your bank account needs urgent verification.,1,phishing
43,Confirm your login credentials now.,1,phishing
44,Urgent account verification is required.,1,phishing
45,Click the link to verify your account.,1,phishing
46,Your bank account needs urgent verification.,1,phishing
47,Click the link to verify your account.,1,phishing
48,Urgent account verification is required.,1,phishing
49,Click the link to verify your account.,1,phishing
50,Your account will be blocked. Verify your password immediately.,1,phishing
51,Verify your account immediately using the provided link.,1,phishing
52,Your online account will be suspended unless verified.,1,phishing
53,Your online account will be suspended unless verified.,1,phishing
54,Confirm your login credentials now.,1,phishing
55,Your account will be blocked. Verify your password immediately.,1,phishing
56,Your bank account needs urgent verification.,1,phishing
57,Confirm your login credentials now.,1,phishing
58,Confirm your login credentials now.,1,phishing
59,Your online account will be suspended unless verified.,1,phishing
60,Urgent account verification is required.,1,phishing
61,Your bank account needs urgent verification.,1,phishing
62,Confirm your login credentials now.,1,phishing
63,Your bank account needs urgent verification.,1,phishing
64,Verify your account immediately using the provided link.,1,phishing
65,Urgent account verification is required.,1,phishing
66,Your bank account needs urgent verification.,1,phishing
67,Click the link to verify your account.,1,phishing
68,Confirm your login credentials now.,1,phishing
69,Click the link to verify your account.,1,phishing
70,Urgent account verification is required.,1,phishing
71,Your account will be blocked. Verify your password immediately.,1,phishing
72,Click the link to verify your account.,1,phishing
73,Confirm your login credentials now.,1,phishing
74,Confirm your login credentials now.,1,phishing
75,Your online account will be suspended unless verified.,1,phishing
76,Urgent account verification is required.,1,phishing
77,Your online account will be suspended unless verified.,1,phishing
78,Confirm your login credentials now.,1,phishing
79,Verify your account immediately using the provided link.,1,phishing
80,Confirm your login credentials now.,1,phishing
81,Your online account will be suspended unless verified.,1,phishing
82,Your online account will be suspended unless verified.,1,phishing
83,Urgent account verification is required.,1,phishing
84,Your account will be blocked. Verify your password immediately.,1,phishing
85,Verify your account immediately using the provided link.,1,phishing
86,Your account security check is pending.,1,phishing
87,Confirm your login credentials now.,1,phishing
88,Your account will be blocked. Verify your password immediately.,1,phishing
89,Urgent account verification is required.,1,phishing
90,Your bank account needs urgent verification.,1,phishing
91,Your account will be blocked. Verify your password immediately.,1,phishing
92,Confirm your login credentials now.,1,phishing
93,Your account will be blocked. Verify your password immediately.,1,phishing
94,Click the link to verify your account.,1,phishing
95,Your online account will be suspended unless verified.,1,phishing
96,Your online account will be suspended unless verified.,1,phishing
97,Confirm your login credentials now.,1,phishing
98,Click the link to verify your account.,1,phishing
99,Verify your account immediately using the provided link.,1,phishing
100,Your online account will be suspended unless verified.,1,phishing
101,Urgent account verification is required.,1,phishing
102,Your online account will be suspended unless verified.,1,phishing
103,Your account security check is pending.,1,phishing
104,Verify your account immediately using the provided link.,1,phishing
105,Your account security check is pending.,1,phishing
106,Your account security check is pending.,1,phishing
107,Urgent account verification is required.,1,phishing
108,Click the link to verify your account.,1,phishing
109,Your account security check is pending.,1,phishing
110,Verify your account immediately using the provided link.,1,phishing
111,Your online account will be suspended unless verified.,1,phishing
112,Confirm your login credentials now.,1,phishing
113,Verify your account immediately using the provided link.,1,phishing
114,Your account will be blocked. Verify your password immediately.,1,phishing
115,Your online account will be suspended unless verified.,1,phishing
116,Urgent account verification is required.,1,phishing
117,Your account security check is pending.,1,phishing
118,Confirm your login credentials now.,1,phishing
119,Your account security check is pending.,1,phishing
120,Urgent account verification is required.,1,phishing
121,Verify your account immediately using the provided link.,1,phishing
122,Your account will be blocked. Verify your password immediately.,1,phishing
123,Your online account will be suspended unless verified.,1,phishing
124,Verify your account immediately using the provided link.,1,phishing
125,Your account will be blocked. Verify your password immediately.,1,phishing
126,Your bank account needs urgent verification.,1,phishing
127,Your account security check is pending.,1,phishing
128,Your online account will be suspended unless verified.,1,phishing
129,Your online account will be suspended unless verified.,1,phishing
130,Your account will be blocked. Verify your password immediately.,1,phishing
131,Your bank account needs urgent verification.,1,phishing
132,Confirm your login credentials now.,1,phishing
133,Click the link to verify your account.,1,phishing
134,Confirm your login credentials now.,1,phishing
135,Your online account will be suspended unless verified.,1,phishing
136,Your online account will be suspended unless verified.,1,phishing
137,Urgent account verification is required.,1,phishing
138,Your account will be blocked. Verify your password immediately.,1,phishing
139,Your bank account needs urgent verification.,1,phishing
140,Click the link to verify your account.,1,phishing
141,Confirm your login credentials now.,1,phishing
142,Your account will be blocked. Verify your password immediately.,1,phishing
143,Verify your account immediately using the provided link.,1,phishing
144,Urgent account verification is required.,1,phishing
145,Your bank account needs urgent verification.,1,phishing
146,Urgent account verification is required.,1,phishing
147,Your online account will be suspended unless verified.,1,phishing
148,Urgent account verification is required.,1,phishing
149,Click the link to verify your account.,1,phishing
150,Your online account will be suspended unless verified.,1,phishing
151,Confirm your login credentials now.,1,phishing
152,Confirm your login credentials now.,1,phishing
153,Verify your account immediately using the provided link.,1,phishing
154,Your online account will be suspended unless verified.,1,phishing
155,Your online account will be suspended unless verified.,1,phishing
156,Your bank account needs urgent verification.,1,phishing
157,Your online account will be suspended unless verified.,1,phishing
158,Click the link to verify your account.,1,phishing
159,Verify your account immediately using the provided link.,1,phishing
160,Your bank account needs urgent verification.,1,phishing
161,Click the link to verify your account.,1,phishing
162,Urgent account verification is required.,1,phishing
163,Confirm your login credentials now.,1,phishing
164,Verify your account immediately using the provided link.,1,phishing
165,Your account security check is pending.,1,phishing
166,Confirm your login credentials now.,1,phishing
167,Your account will be blocked. Verify your password immediately.,1,phishing
168,Confirm your login credentials now.,1,phishing
169,Confirm your login credentials now.,1,phishing
170,Your online account will be suspended unless verified.,1,phishing
171,Click the link to verify your account.,1,phishing
172,Your online account will be suspended unless verified.,1,phishing
173,Your online account will be suspended unless verified.,1,phishing
174,Your account security check is pending.,1,phishing
175,Your account security check is pending.,1,phishing
176,Verify your account immediately using the provided link.,1,phishing
177,Your online account will be suspended unless verified.,1,phishing
178,Your account security check is pending.,1,phishing
179,Your bank account needs urgent verification.,1,phishing
180,Your bank account needs urgent verification.,1,phishing
181,Verify your account immediately using the provided link.,1,phishing
182,Your bank account needs urgent verification.,1,phishing
183,Verify your account immediately using the provided link.,1,phishing
184,Your account will be blocked. Verify your password immediately.,1,phishing
185,Your account security check is pending.,1,phishing
186,Your online account will be suspended unless verified.,1,phishing
187,Verify your account immediately using the provided link.,1,phishing
188,Verify your account immediately using the provided link.,1,phishing
189,Click the link to verify your account.,1,phishing
190,Your online account will be suspended unless verified.,1,phishing
191,Your account will be blocked. Verify your password immediately.,1,phishing
192,Click the link to verify your account.,1,phishing
193,Your account security check is pending.,1,phishing
194,Urgent account verification is required.,1,phishing
195,Your online account will be suspended unless verified.,1,phishing
196,Urgent account verification is required.,1,phishing
197,Your online account will be suspended unless verified.,1,phishing
198,Your account will be blocked. Verify your password immediately.,1,phishing
199,Click the link to verify your account.,1,phishing
200,Verify your account immediately using the provided link.,1,phishing
201,Click the link to verify your account.,1,phishing
202,Urgent account verification is required.,1,phishing
